concept_id,record_count
76770,60130
76771,107650
76772,2250
76777,233870
76778,1010
76783,79290
76784,206660
76786,14588060
76789,313240
76790,1222600
76791,14960
76797,189600
76798,45230
76800,4200
76801,64240
76825,1980
76835,726050
76838,6460
76870,14170
76887,296410
76914,1191760
76924,219180
76992,4100
77025,12621340
77029,3180
77030,10131160
77052,14410
77059,1310
77066,5157050
77067,452100
77069,110020
77070,7910
77071,11520
77072,2231780
77073,7290
77074,157730240
77076,1216070
77079,13939630
77081,9357680
77112,18800
77115,36360
77119,93950
77124,30980
77129,2969430
77131,51670
77139,174000
77146,878560
77162,5076620
77178,51440
77182,32890
77234,45015080
77310,87240
77317,624570
77338,242300
77340,941150
77347,6100
77348,30580
77353,2200
77355,177600
77356,42710
77357,48540
77358,58040
77360,12970
77362,131370
77364,9740
77365,148340
77372,14400
77373,783030
77387,75410
77395,153190
77403,88260
77405,32720
77407,1210
77408,20810
77421,93270
77437,72060
77455,91250
77517,153260
77619,4934480
77621,2570
77624,67710
77630,29171260
77631,1007070
77632,3440
77633,1490
77635,369700
77637,594780
77638,4036920
77639,20932520
77640,73690
77641,12690
77644,10499320
77646,27181720
77647,1604830
77650,711850
77653,70220
77661,10530
77662,5520
77665,8420
77670,378574590
77673,375560
77691,2090
77698,65450
77701,69580
77702,580990
77707,1767220
77718,5570
77719,9710
77730,5580
77734,5292630
77812,330070
77815,62890
77819,38760
77880,4540
77923,104360
77953,2680
77955,1999210
77956,72940
77960,304000
77961,468520
77962,28240
77963,11205210
77965,17444960
77968,14330
77984,13880
77987,3666260
78009,24880
78011,1920180
78015,344320
78073,414570
78093,432830
78097,41574210
78110,179350
78149,469040
78162,4216830
78193,648940
78200,2652840
78217,4990
78218,18260
78224,17400
78227,3637030
78228,6730730
78231,2170
78232,297620650
78233,190160
78234,19181510
78235,1801490
78236,33615460
78237,3368480
78238,26670
78241,6860
78243,1223640
78257,727230
78267,1015290
78272,11128790
78273,6695350
78274,41500
78275,2550
78276,22140
78282,93360
78308,186630
78314,26610
78357,409670
78472,19440110
78473,8293760
78474,5840320
78494,21080
78497,3084580
78505,16643740
78506,55290
78507,191200
78508,107829400
78509,125820
78510,47180
78513,12640
78514,13260
78516,34210
78517,11752900
78518,413580
78524,177030
78529,114470
78560,467060
78574,35700
78577,26340
78579,598700
78581,9756170
78584,93050
78586,428980
78593,14830
78602,115560
78605,3765640
78606,20600
78607,4020
78609,52250
78619,12108140
78621,63290
78633,46370
78647,125190
78650,3600
78672,5510
78706,112270
78769,5650
78770,2040
78771,882130
78786,4839850
78799,94280
78804,13329200
78818,270360
78829,238150
78830,23260
78831,1130
78832,8360290
78833,48850
78834,1712970
78838,188660
78842,490180
78854,3840
78863,13570
78880,5470
78888,312350
78890,2215280
78907,240780
78910,2940
78914,2310
78937,74640
78956,2260
78987,260400
79061,6912350
79069,10940
79072,4216470
79091,15610
79098,193020
79102,16020
79104,197090
79106,125760
79107,5580
79109,34910
79112,89720
79113,498210
79116,908890
79119,994910
79121,35630
79126,31540
79127,477120
79131,8580
79144,100160
79145,1788620
79146,11720
79165,229370
79167,431180
79172,367190
79173,157680
79174,111120
79175,1500
79186,1840
79189,250240
79212,13170
79213,13220
79232,39020
79240,898100
79732,389050
79740,720410
79742,69020
79749,37370
79758,54040
79765,525490
79768,1152210
79804,872320
79833,3482480
79864,40271940
79873,76400
79884,853520
79889,18180
79890,56110
79896,2570
